Name,x,y,normal,undiff,well_diff,Class
Tile 8866,44013.0,22032.0,1.24668572448923E-13,1.3738519328253262E-13,1.0,well_diff
Tile 8868,44013.0,23056.0,4.583286354318261E-4,4.4888697448186576E-4,0.9990928173065186,well_diff
Tile 8869,44013.0,23568.0,2.000062977458583E-6,2.0520321868389146E-6,0.9999959468841553,well_diff
Tile 8872,44013.0,25104.0,3.4672904738325405E-12,3.776277467809619E-12,1.0,well_diff
Tile 8874,44013.0,26128.0,0.004066965542733669,0.004105034284293652,0.9918280839920044,well_diff
Tile 8875,44013.0,26640.0,2.2608453582506627E-4,2.3140227131079882E-4,0.9995425939559937,well_diff
Tile 8876,44013.0,27152.0,0.0014220456359907985,0.001415848615579307,0.9971621036529541,well_diff
Tile 8882,44013.0,30224.0,3.670268711175595E-8,3.0281210001703585E-6,0.9999970197677612,well_diff
Tile 8883,44013.0,30736.0,2.5650177803981933E-7,0.06301861256361008,0.936981201171875,well_diff
Tile 8884,44013.0,31248.0,0.004382996819913387,0.004348562099039555,0.9912683963775635,well_diff
Tile 8887,44013.0,32784.0,9.71599540207535E-4,0.04049673676490784,0.9585316777229309,well_diff
Tile 8888,44013.0,33296.0,3.5644065823903226E-12,3.864399251984896E-12,1.0,well_diff
Tile 8890,44013.0,34320.0,3.3073307713493705E-4,3.353952488396317E-4,0.999333918094635,well_diff
Tile 8892,44013.0,35344.0,7.181320815785597E-11,7.754499126155778E-11,1.0,well_diff
Tile 8896,44013.0,37392.0,8.196591079467908E-5,2.3916386999189854E-4,0.9996788501739502,well_diff
Tile 8897,44013.0,37904.0,4.351573863876089E-18,4.9311863501272025E-18,1.0,well_diff
Tile 8898,44013.0,38416.0,1.080111246665183E-6,1.10475252768083E-6,0.9999978542327881,well_diff
Tile 8899,44013.0,38928.0,9.517278288975316E-15,1.0526592584528174E-14,1.0,well_diff
Tile 8901,44013.0,39952.0,0.05034127086400986,0.006002781912684441,0.9436558485031128,well_diff
Tile 8906,44013.0,42512.0,2.578672720119357E-4,2.6394796441309154E-4,0.999478280544281,well_diff
Tile 8907,44013.0,43024.0,4.1189847088674014E-9,4.300395595180362E-9,1.0,well_diff
Tile 8909,44013.0,44048.0,4.34740168398038E-14,4.746755018127796E-14,1.0,well_diff
Tile 8910,44013.0,44560.0,2.6435201250230023E-10,2.8485411251999437E-10,1.0,well_diff
Tile 8915,44013.0,47120.0,9.536268302801076E-11,1.0411360662487823E-10,1.0,well_diff
