Name,x,y,normal,undiff,well_diff,Class
Tile 10958,49656.0,88592.0,3.3127804499599733E-8,0.9999998807907104,5.1247241117380327E-8,undiff
Tile 10959,49656.0,89104.0,1.8650116444685755E-13,1.0,2.302112222640068E-13,undiff
Tile 10960,49656.0,89616.0,1.2094884250764878E-14,1.0,1.4855440011798948E-14,undiff
Tile 10961,49656.0,90128.0,3.817369123170107E-15,1.0,4.476665687994964E-15,undiff
Tile 10962,49656.0,90640.0,1.519757410195499E-11,1.0,3.883561180972883E-11,undiff
Tile 10975,49656.0,97296.0,1.3749174325103364E-15,1.0,1.4135923216072573E-15,undiff
Tile 10976,50169.0,1552.0,5.221334432523039E-13,1.0,5.575994310377808E-13,undiff
Tile 10977,50169.0,2064.0,1.1310420780291305E-13,1.0,1.2205270431484005E-13,undiff
Tile 10978,50169.0,2576.0,4.541615327357477E-15,1.0,4.842276448248969E-15,undiff
Tile 10979,50169.0,5136.0,9.780433028936386E-4,0.9912563562393188,0.007765626534819603,undiff
Tile 10993,50169.0,12304.0,1.7644496974611457E-11,1.0,1.9174193482962565E-11,undiff
Tile 10994,50169.0,12816.0,2.545684996135833E-9,1.0,1.2782241043396425E-8,undiff
Tile 11000,50169.0,15888.0,2.3801617347516367E-15,1.0,7.174139754484443E-13,undiff
Tile 11004,50169.0,17936.0,1.5722914668003796E-6,0.9999967813491821,1.633520355426299E-6,undiff
Tile 11007,50169.0,19472.0,0.08001863956451416,0.9185450673103333,0.0014363034861162305,undiff
Tile 11010,50169.0,22544.0,3.7972939679817297E-13,1.0,3.361486783370893E-11,undiff
Tile 11012,50169.0,23568.0,6.22265061920675E-18,1.0,7.026054752232553E-18,undiff
Tile 11013,50169.0,24080.0,1.8289118191758112E-16,1.0,2.0362407354197363E-15,undiff
Tile 11017,50169.0,26128.0,5.66641720070038E-5,0.9998869895935059,5.63014873478096E-5,undiff
Tile 11018,50169.0,26640.0,1.514717573591895E-9,1.0,1.6237194921941978E-9,undiff
Tile 11019,50169.0,27152.0,9.948019075167736E-10,1.0,3.0240159265559896E-9,undiff
Tile 11030,50169.0,32784.0,6.70917685852146E-8,0.9999997615814209,1.3953417976608762E-7,undiff
Tile 11031,50169.0,33296.0,4.219331258576318E-18,1.0,1.7914510260773262E-17,undiff
Tile 11036,50169.0,35856.0,2.0440101456454143E-20,1.0,2.2920751490015317E-20,undiff
Tile 11037,50169.0,36368.0,7.536756631109464E-20,1.0,9.169359128696253E-20,undiff
Tile 11038,50169.0,36880.0,2.689112059031302E-17,1.0,3.107405217962425E-17,undiff
Tile 11047,50169.0,41488.0,6.081994039256952E-14,1.0,6.673994852861992E-14,undiff
Tile 11048,50169.0,42000.0,9.12996696812913E-17,1.0,1.0028608044672859E-16,undiff
Tile 11049,50169.0,42512.0,2.854810191000934E-19,1.0,3.2735429757481133E-19,undiff
Tile 11058,50169.0,47120.0,3.962715030246533E-13,1.0,4.194899635989735E-13,undiff
Tile 11063,50169.0,49680.0,2.1348955936417724E-10,1.0,1.0326132837690238E-8,undiff
Tile 11064,50169.0,50192.0,0.02554810605943203,0.9636749029159546,0.010776997543871403,undiff
Tile 11065,50169.0,50704.0,3.790551054208411E-16,1.0,1.2266192217424087E-15,undiff
Tile 11066,50169.0,51216.0,3.495907776596141E-6,0.9999147653579712,8.173925016308203E-5,undiff
Tile 11071,50169.0,53776.0,1.0759214319477906E-6,0.9999974966049194,1.4137677908365731E-6,undiff
Tile 11072,50169.0,54288.0,3.4828948752840816E-11,1.0,2.1117746440424412E-10,undiff
Tile 11073,50169.0,54800.0,2.20740634972183E-12,1.0,1.8774841056834468E-11,undiff
Tile 11081,50169.0,58896.0,1.4402493954401852E-12,1.0,1.5994707728422819E-12,undiff
Tile 11086,50169.0,61456.0,2.417698397039203E-7,0.9999994039535522,3.423580210437649E-7,undiff
Tile 11092,50169.0,64528.0,1.1994881788268685E-5,0.9995579123497009,4.301306325942278E-4,undiff
Tile 11099,50169.0,68112.0,1.6237197542068316E-6,0.9999967813491821,1.6487847460666671E-6,undiff
Tile 11100,50169.0,68624.0,2.239603880127561E-8,1.0,2.3266617077410956E-8,undiff
Tile 11101,50169.0,69136.0,2.284275296915439E-6,0.9999953508377075,2.3129323380999267E-6,undiff
Tile 11102,50169.0,69648.0,1.918102654485665E-8,1.0,2.0058838146042035E-8,undiff
Tile 11103,50169.0,70160.0,0.0017745274817571044,0.9435965418815613,0.05462897568941116,undiff
Tile 11104,50169.0,70672.0,1.5393833430188408E-10,1.0,1.6287217408095245E-10,undiff
Tile 11112,50169.0,74768.0,9.724745177663863E-4,0.923772394657135,0.07525515556335449,undiff
Tile 11114,50169.0,75792.0,0.00338376616127789,0.9720227718353271,0.02459348924458027,undiff
Tile 11116,50169.0,76816.0,1.8176976936956635E-6,0.9999070167541504,9.114002750720829E-5,undiff
Tile 11118,50169.0,77840.0,1.3293755943704657E-16,1.0,3.311958645466214E-16,undiff
Tile 11119,50169.0,78352.0,1.4064486337714288E-12,1.0,1.755978175366213E-12,undiff
Tile 11126,50169.0,81936.0,1.9347610180631136E-9,1.0,1.3957247801954509E-8,undiff
Tile 11130,50169.0,83984.0,8.491184416925535E-5,0.9986006617546082,0.0013143813703209162,undiff
Tile 11137,50169.0,87568.0,5.922189849627557E-9,0.9999918937683105,8.12714370113099E-6,undiff
Tile 11138,50169.0,88080.0,1.0216980039778889E-10,1.0,1.1043840147939576E-10,undiff
Tile 11139,50169.0,88592.0,3.665551889797669E-11,1.0,9.72801394993894E-10,undiff
Tile 11140,50169.0,89104.0,1.0431519743055867E-13,1.0,1.1786037911690889E-13,undiff
Tile 11141,50169.0,89616.0,1.201917898703813E-14,1.0,2.6665713568989856E-14,undiff
Tile 11142,50169.0,90128.0,2.4990275623057272E-14,1.0,2.88987990438791E-14,undiff
Tile 11143,50169.0,90640.0,7.967648707563058E-5,0.9988870024681091,0.0010333831887692213,undiff
Tile 11144,50169.0,91152.0,8.332083634154941E-11,1.0,1.0993589372176871E-10,undiff
Tile 11147,50169.0,92688.0,1.4657377742088862E-11,1.0,2.974382545817278E-11,undiff
